GEOIDFQ,cat4_mom_slosh_hightide_maximum,emergency_shelters_count,FEMA_SFHA_intersect,fire_stations_count,igtn_prob_test_maximum,n10_landslide_susc_maximum,onsite_sewage_disposal_count,police_stations_count,slrxa_3pt2ft_acres,staterf_inann_mean,wastewater_plants_count,GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28002_013E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,B05013_017E,B05013_018E,B05013_019E,B01001_017E,B01001_018E,B01001_019E,B01001_016E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B25008_003E,GEO_ID_2.1,P5_002N,P5_003N,P5_004N,P5_005N,P5_008N,P5_009N,P5_010N
1500000US150030102051,12.0,1,1,1,0.40000000596,81.0,339,1,129.604577745,78.6000082435,2,1500000US150030102051,Block Group 1; Census Tract 102.05; Honolulu County; Hawaii,1494,43,233,94,45,82,0,988.0,0,0,27,0,18,0,0,12,7,30,96,413,33,58,19,58,15,0,,41,51,76,16,19,32,15,3,10205,1,1500000US150030102051,,,,45,5,12,109,30,34,30,17,0,6,581,9,0,103,135,9,657,401,1500000US150030102051,0,0,0,0,0,0,26
1500000US150090305012,10.0,1,1,1,0.829999983311,81.0,8,1,37.2028627284,33.6059887985,1,1500000US150090305012,Block Group 2; Census Tract 305.01; Maui County; Hawaii,547,81,26,23,15,22,33,431.0,0,3,28,0,14,0,0,0,0,57,21,150,23,30,0,0,2,2,,8,6,7,0,11,22,15,9,30501,2,1500000US150090305012,,,,30,22,18,25,17,12,4,0,0,12,334,0,0,35,88,22,68,224,1500000US150090305011,0,0,0,0,0,0,0
1500000US150090315031,9.0,1,1,1,0.920000016689,81.0,70,1,64.3024263234,21.9894223213,1,1500000US150090315031,Block Group 1; Census Tract 315.03; Maui County; Hawaii,1227,484,560,300,10,0,15,934.0,0,15,4,0,39,0,0,3,0,76,69,366,39,43,3,71,62,47,,63,12,3,11,34,43,15,9,31503,1,1500000US150090315031,,,,83,13,32,27,20,59,58,56,6,15,921,15,3,71,5,0,212,200,1500000US150090315031,0,0,0,0,0,0,0
1500000US150090308001,12.0,1,1,1,0.850000023842,81.0,398,1,108.788699384,40.720209695,1,1500000US150090308001,Block Group 1; Census Tract 308; Maui County; Hawaii,3888,69,15,88,3,0,185,2169.0,5,99,109,0,12,0,0,0,3,20,117,704,103,107,40,17,152,29,,185,255,109,165,10,32,15,9,30800,1,1500000US150090308001,,,,132,17,18,413,16,17,79,72,35,30,406,0,2,1366,1097,10,1007,659,1500000US150090308002,0,0,0,0,0,0,0
1500000US150090301001,10.0,1,1,1,0.850000023842,81.0,465,1,129.372601801,104.152882615,1,1500000US150090301001,Block Group 1; Census Tract 301; Maui County; Hawaii,769,50,63,0,28,24,169,746.0,0,0,12,5,37,0,0,0,0,32,32,197,20,86,29,0,0,142,,24,19,0,9,38,8,15,9,30100,1,1500000US150090301001,,,,41,0,12,28,21,0,29,27,13,18,215,0,23,0,377,0,154,395,1500000US150090301001,0,0,0,0,0,0,0
1500000US150090317002,14.0,1,1,1,0.910000026226,81.0,442,1,304.281340071,24.2788856119,1,1500000US150090317002,Block Group 2; Census Tract 317; Maui County; Hawaii,1562,17,177,46,5,37,26,1004.0,0,10,83,0,69,0,0,0,0,14,119,317,150,168,103,23,33,14,,65,82,11,9,16,9,15,9,31700,2,1500000US150090317002,,,,45,46,10,10,12,64,58,63,5,27,153,0,43,204,489,0,673,785,1500000US150090317001,0,0,0,0,0,0,0
1500000US150030080012,13.0,1,1,1,0.860000014305,60.0,5,1,2.05000175646,26.7448840671,1,1500000US150030080012,Block Group 2; Census Tract 80.01; Honolulu County; Hawaii,655,12,149,18,10,21,15,284.0,0,10,8,0,7,0,0,0,0,7,63,117,25,20,38,0,1,8,,9,31,22,16,11,31,15,3,8001,2,1500000US150030080012,,,,20,12,0,38,5,18,1,8,8,9,72,0,0,268,24,0,291,405,1500000US150030080011,75,0,0,75,0,0,47
1500000US150090307092,4.0,1,1,1,0.839999973774,45.0,90,1,8.04628036444,12.3974776701,1,1500000US150090307092,Block Group 2; Census Tract 307.09; Maui County; Hawaii,1117,152,825,32,8,0,0,874.0,43,31,81,0,0,0,0,0,0,61,68,305,11,25,14,108,72,0,,8,4,44,14,59,33,15,9,30709,2,1500000US150090307092,,,,46,0,10,36,39,22,62,31,9,11,809,8,0,135,9,43,113,377,1500000US150090307093,0,0,0,0,0,0,0
1500000US150090307101,9.0,1,1,1,0.879999995232,37.0,88,1,17.5921413345,12.4657782714,1,1500000US150090307101,Block Group 1; Census Tract 307.10; Maui County; Hawaii,1869,547,299,0,0,0,50,1561.0,0,0,68,0,0,0,0,2,0,50,35,593,34,244,0,97,23,5,,35,9,9,70,20,100,15,9,30710,1,1500000US150090307101,,,,84,12,18,140,13,49,87,22,11,16,1251,31,0,237,59,82,209,687,1500000US150090307101,0,0,0,0,0,0,27
1500000US150090307091,11.0,1,1,1,0.889999985695,52.0,16,1,46.9592322816,11.9553731283,1,1500000US150090307091,Block Group 1; Census Tract 307.09; Maui County; Hawaii,1471,160,416,0,0,8,0,839.0,31,0,37,0,149,31,0,0,0,106,189,293,122,64,184,54,52,36,,47,16,0,0,15,8,15,9,30709,1,1500000US150090307091,,,,24,34,19,7,36,38,40,55,8,109,1027,12,0,165,38,92,137,637,1500000US150090307091,0,0,0,0,0,0,114
1500000US150010215104,10.0,1,1,1,0.829999983311,81.0,10,1,22.1995427293,33.9049309508,2,1500000US150010215104,Block Group 4; Census Tract 215.10; Hawaii County; Hawaii,419,195,329,38,0,40,4,273.0,0,0,4,0,0,0,0,0,0,36,29,88,24,68,7,21,0,4,,21,14,0,0,0,16,15,1,21510,4,1500000US150010215104,,,,30,28,4,10,4,7,8,12,0,0,283,0,0,18,27,5,86,234,1500000US150010215104,0,0,0,0,0,0,6
1500000US150010216081,11.0,1,1,1,0.759999990463,40.0,31,1,21.6740849229,28.4411777496,1,1500000US150010216081,Block Group 1; Census Tract 216.08; Hawaii County; Hawaii,347,152,642,141,16,0,0,,0,0,0,0,21,0,0,0,0,51,112,26,17,0,13,0,0,0,,0,0,0,0,0,46,15,1,21608,1,1500000US150010216081,,,,0,17,0,0,0,9,98,0,0,0,239,20,0,78,0,0,10,163,1500000US150010216082,0,0,0,0,0,0,0
1500000US150010215103,10.0,1,1,1,0.899999976158,81.0,36,1,3.19304364584,37.2711448669,1,1500000US150010215103,Block Group 3; Census Tract 215.10; Hawaii County; Hawaii,1121,233,324,0,0,0,0,855.0,0,0,0,0,3,0,0,0,0,15,61,402,116,0,19,30,19,0,,0,0,10,12,48,43,15,1,21510,3,1500000US150010215103,,,,0,26,80,22,8,27,104,122,3,23,782,0,0,132,131,0,76,206,1500000US150010215102,0,0,0,0,0,0,20
1500000US150010211081,9.0,1,1,1,0.839999973774,81.0,835,1,41.3862668684,111.262779619,1,1500000US150010211081,Block Group 1; Census Tract 211.08; Hawaii County; Hawaii,1815,30,163,33,0,0,0,1308.0,0,191,36,0,34,14,0,15,0,90,82,513,39,494,19,32,163,51,,0,91,21,157,0,131,15,1,21108,1,1500000US150010211081,,,,75,33,0,80,17,123,67,16,0,0,1233,0,0,64,17,86,415,788,1500000US150010211083,0,0,0,0,0,0,0
1500000US150010212041,9.0,1,1,1,0.910000026226,81.0,118,1,5.61244355696,31.9129348572,1,1500000US150010212041,Block Group 1; Census Tract 212.04; Hawaii County; Hawaii,820,14,89,4,20,79,71,529.0,0,10,20,0,35,0,0,32,0,31,22,178,47,85,72,76,6,63,,68,23,26,51,6,9,15,1,21204,1,1500000US150010212041,,,,7,9,24,18,6,6,12,16,13,14,37,4,4,247,42,0,486,241,1500000US150010212041,0,0,0,0,0,0,0
1500000US150010211082,9.0,1,1,2,0.829999983311,48.0,1049,1,31.7918622918,129.829195039,1,1500000US150010211082,Block Group 2; Census Tract 211.08; Hawaii County; Hawaii,2306,150,471,32,87,0,0,1512.0,0,0,133,0,134,0,0,31,93,255,241,453,464,172,263,138,85,104,,150,98,238,68,0,96,15,1,21108,2,1500000US150010211082,,,,86,0,17,185,0,23,140,51,0,51,754,0,0,300,229,27,996,257,1500000US150010211081,0,0,0,0,0,0,0
1500000US150010217081,17.0,1,1,1,1.0,81.0,306,1,273.344206516,13.7737251393,3,1500000US150010217081,Block Group 1; Census Tract 217.08; Hawaii County; Hawaii,1279,516,64,27,38,0,8,842.0,0,0,8,7,12,0,0,10,5,44,79,423,192,8,19,22,211,5,,61,5,55,5,19,69,15,1,21708,1,1500000US150010217081,,,,72,18,29,15,38,119,64,48,3,0,895,0,11,81,1,8,283,419,1500000US150010217082,0,0,0,0,0,0,0
1500000US150010216052,11.0,1,1,1,0.740000009537,50.0,10,1,14.7300656166,27.3219799715,1,1500000US150010216052,Block Group 2; Census Tract 216.05; Hawaii County; Hawaii,670,118,268,261,0,0,0,488.0,0,0,0,0,14,0,0,0,0,76,72,191,23,64,0,0,50,0,,26,0,19,0,13,0,15,1,21605,2,1500000US150010216052,,,,0,72,26,10,41,14,0,18,25,0,390,0,0,178,0,55,47,227,1500000US150010216051,0,0,0,0,0,0,0
1500000US150010212034,9.0,1,1,2,0.850000023842,81.0,133,1,41.9220098927,54.8353917389,1,1500000US150010212034,Block Group 4; Census Tract 212.03; Hawaii County; Hawaii,232,40,10,8,10,0,8,258.0,5,7,19,0,32,4,0,0,0,4,30,68,5,0,6,14,17,0,,0,0,1,3,0,6,15,1,21203,4,1500000US150010212034,,,,10,0,0,0,5,0,7,31,0,2,17,0,0,58,18,84,55,34,1500000US150010212034,0,0,0,0,0,0,0
1500000US150010212043,9.0,1,1,1,0.930000007153,81.0,676,1,5.11896300602,41.1257610152,1,1500000US150010212043,Block Group 3; Census Tract 212.04; Hawaii County; Hawaii,1633,186,53,14,4,3,20,1330.0,8,52,83,0,103,8,0,0,8,185,65,398,102,127,36,77,66,103,,43,15,29,38,60,105,15,1,21204,3,1500000US150010212043,,,,48,13,43,20,14,59,96,43,3,7,889,6,0,82,142,53,461,329,1500000US150010212043,0,0,0,0,0,0,16
1500000US150010212031,9.0,1,1,3,0.910000026226,81.0,398,1,58.9226399413,66.1668422754,1,1500000US150010212031,Block Group 1; Census Tract 212.03; Hawaii County; Hawaii,1958,40,186,48,88,82,32,1082.0,0,31,24,0,40,0,0,45,30,46,142,330,97,131,43,267,283,0,,76,85,47,54,38,31,15,1,21203,1,1500000US150010212031,,,,32,19,24,11,63,25,49,21,49,18,155,17,0,638,92,0,1056,189,1500000US150010212033,0,0,0,0,0,0,0
1500000US150010216053,10.0,1,1,1,0.819999992847,80.0,130,1,18.4908807794,36.2118089232,1,1500000US150010216053,Block Group 3; Census Tract 216.05; Hawaii County; Hawaii,2110,134,294,17,0,0,40,1204.0,57,178,64,0,58,86,0,104,0,132,140,426,134,88,0,85,145,0,,0,57,96,5,50,49,15,1,21605,3,1500000US150010216053,,,,58,6,52,110,66,22,64,42,0,23,796,10,9,643,48,328,276,1379,1500000US150010216053,0,0,0,0,21,0,97
1500000US150010211071,8.0,2,1,1,0.850000023842,81.0,505,1,3.48855076656,124.46924337,1,1500000US150010211071,Block Group 1; Census Tract 211.07; Hawaii County; Hawaii,1003,89,121,22,26,0,21,805.0,23,29,123,0,44,0,0,0,0,62,22,264,181,115,77,17,62,92,,23,11,21,14,79,27,15,1,21107,1,1500000US150010211071,,,,59,43,13,47,93,2,27,2,0,10,282,1,0,403,135,0,182,255,1500000US150010211071,0,0,0,0,0,0,29
1500000US150010215131,12.0,1,1,2,0.980000019073,81.0,553,1,124.46539852,18.396333138,6,1500000US150010215131,Block Group 1; Census Tract 215.13; Hawaii County; Hawaii,1909,71,207,93,0,0,15,1539.0,0,114,14,12,29,0,0,0,0,97,66,409,27,85,86,166,136,24,,21,128,0,26,0,66,15,1,21513,1,1500000US150010215131,,,,27,68,68,0,0,23,80,52,28,30,559,0,0,25,210,0,1115,357,1500000US150010215132,1,0,0,1,0,0,10
1500000US150010210151,9.0,1,1,1,0.819999992847,26.0,908,1,12.6204652264,128.252063108,1,1500000US150010210151,Block Group 1; Census Tract 210.15; Hawaii County; Hawaii,1937,62,0,26,0,0,64,1665.0,0,124,34,0,0,0,0,0,0,222,30,505,149,154,0,81,132,0,,0,66,64,24,51,29,15,1,21015,1,1500000US150010210151,,,,25,0,0,138,35,30,0,26,0,0,1371,0,0,105,81,0,380,147,1500000US150010210151,0,0,0,0,0,0,0
1500000US150010210143,9.0,1,1,1,0.819999992847,24.0,1008,1,8.9731754663,129.462877015,1,1500000US150010210143,Block Group 3; Census Tract 210.14; Hawaii County; Hawaii,3241,225,133,0,0,0,0,2314.0,0,0,0,0,98,0,0,0,0,282,104,867,48,20,366,42,0,80,,0,58,205,36,0,229,15,1,21014,3,1500000US150010210143,,,,187,49,29,119,85,58,297,41,17,0,1354,47,0,534,0,0,1306,341,1500000US150010210143,0,0,0,0,0,0,31
1500000US150010211013,8.0,1,1,1,0.850000023842,81.0,613,1,121.335476841,103.342360963,1,1500000US150010211013,Block Group 3; Census Tract 211.01; Hawaii County; Hawaii,814,74,43,0,11,0,0,799.0,0,0,84,0,52,7,0,0,32,159,102,123,183,135,87,48,6,37,,0,0,6,0,8,0,15,1,21101,3,1500000US150010211013,,,,15,37,52,16,11,86,46,5,0,0,536,0,24,30,37,0,187,148,1500000US150010211013,0,0,0,0,0,0,0
1500000US150090307082,10.0,1,1,1,0.879999995232,0.0,4,1,38.5915977328,11.3638347279,1,1500000US150090307082,Block Group 2; Census Tract 307.08; Maui County; Hawaii,732,91,168,0,9,0,0,469.0,28,9,0,0,0,0,0,0,0,17,85,185,16,66,8,0,13,25,,70,0,10,9,11,9,15,9,30708,2,1500000US150090307082,,,,40,0,23,55,11,13,0,19,0,0,423,0,0,11,0,24,274,332,1500000US150090307082,0,0,0,0,0,0,19
1500000US150090309033,11.0,1,1,1,0.910000026226,79.0,43,1,27.3411700207,21.6201262223,1,1500000US150090309033,Block Group 3; Census Tract 309.03; Maui County; Hawaii,2730,105,127,40,24,2,0,1693.0,60,37,37,0,140,0,0,1,0,42,18,596,24,161,31,28,109,9,,46,31,45,100,35,9,15,9,30903,3,1500000US150090309033,,,,75,29,29,88,7,30,152,39,39,51,70,8,1,952,927,102,670,458,1500000US150090309033,0,0,0,0,0,0,0
1500000US150090315011,8.0,1,1,1,0.829999983311,45.0,167,1,1.02841761655,35.8119041443,1,1500000US150090315011,Block Group 1; Census Tract 315.01; Maui County; Hawaii,1478,145,201,33,0,6,0,910.0,0,7,31,0,9,0,0,0,0,27,5,332,0,12,38,15,2,17,,24,30,87,25,14,36,15,9,31501,1,1500000US150090315011,,,,70,7,22,14,40,52,35,13,8,6,381,0,0,430,400,16,251,254,1500000US150090315011,0,0,0,0,0,0,14
1500000US150090315012,8.0,1,1,1,0.879999995232,74.0,66,1,56.903895669,39.9274614935,1,1500000US150090315012,Block Group 2; Census Tract 315.01; Maui County; Hawaii,1044,185,718,115,47,1,0,707.0,2,9,54,0,20,0,0,0,0,29,48,232,21,22,49,174,19,3,,16,22,41,58,20,28,15,9,31501,2,1500000US150090315012,,,,22,24,17,21,10,20,14,17,2,4,564,1,0,135,84,42,218,223,1500000US150090315012,0,0,0,0,0,0,0
1500000US150090314043,11.0,1,1,1,0.889999985695,0.0,3,1,31.2801766534,13.066590896,1,1500000US150090314043,Block Group 3; Census Tract 314.04; Maui County; Hawaii,949,99,137,0,21,0,0,445.0,0,85,33,30,9,0,16,28,0,32,46,233,178,148,59,19,8,9,,34,32,0,0,0,6,15,9,31404,3,1500000US150090314043,,,,15,47,7,25,82,6,25,21,0,0,289,0,14,286,61,15,284,824,1500000US150090314043,0,0,0,0,0,0,5
1500000US150090314041,10.0,1,1,1,0.889999985695,0.0,1,1,17.3911460612,12.6338479042,1,1500000US150090314041,Block Group 1; Census Tract 314.04; Maui County; Hawaii,732,39,140,75,9,0,0,452.0,0,24,19,0,27,0,0,0,0,59,27,133,31,11,32,23,96,22,,47,0,66,33,56,0,15,9,31404,1,1500000US150090314041,,,,1,41,28,0,42,0,14,0,27,0,372,0,0,100,33,0,227,345,1500000US150090314041,0,0,0,0,0,0,1
1500000US150090314042,10.0,1,1,1,0.870000004768,0.0,3,1,49.919607584,11.8970667521,1,1500000US150090314042,Block Group 2; Census Tract 314.04; Maui County; Hawaii,1419,36,200,247,101,13,37,1031.0,0,0,8,0,0,0,0,0,0,8,41,382,91,182,0,150,64,67,,24,0,51,12,0,32,15,9,31404,2,1500000US150090314042,,,,54,22,33,44,5,35,110,36,46,13,721,0,0,327,0,0,371,896,1500000US150090314042,0,0,0,0,0,0,0
1500000US150090314022,9.0,1,1,1,0.910000026226,21.0,43,1,24.195093233,14.1173307101,1,1500000US150090314022,Block Group 2; Census Tract 314.02; Maui County; Hawaii,1600,46,151,93,60,7,5,949.0,0,24,52,5,48,12,0,37,0,25,53,275,21,46,30,0,12,10,,42,43,50,71,4,8,15,9,31402,2,1500000US150090314022,,,,109,17,17,57,16,60,20,9,0,18,407,11,0,553,434,20,175,759,1500000US150090314022,0,0,0,0,0,0,0
1500000US150090316011,10.0,1,1,1,0.920000016689,81.0,1,1,57.1148224242,22.9660353752,3,1500000US150090316011,Block Group 1; Census Tract 316.01; Maui County; Hawaii,2562,217,141,38,19,72,238,1698.0,19,27,0,0,155,0,0,73,11,85,115,663,97,83,11,102,19,35,,58,22,181,102,19,46,15,9,31601,1,1500000US150090316011,,,,167,45,15,48,48,51,84,69,21,39,299,0,0,1333,173,83,674,1181,1500000US150090316012,4,0,0,0,0,0,0
1500000US150090317003,13.0,1,1,1,0.899999976158,71.0,46,1,99.705342462,12.8078062611,1,1500000US150090317003,Block Group 3; Census Tract 317; Maui County; Hawaii,277,6,106,44,52,3,0,294.0,0,0,0,0,46,0,0,0,0,43,11,93,47,4,4,0,16,2,,6,4,3,19,2,1,15,9,31700,3,1500000US150090317003,,,,2,0,0,5,0,0,1,7,4,46,5,0,0,44,132,0,96,52,1500000US150090317002,0,0,0,0,0,0,0
1500000US150070401041,10.0,1,1,1,0.829999983311,81.0,346,1,279.557362835,93.608506004,2,1500000US150070401041,Block Group 1; Census Tract 401.04; Kauai County; Hawaii,991,108,72,47,49,19,6,572.0,123,0,19,0,0,0,0,0,0,6,37,240,23,88,59,1,98,2,,24,76,66,116,0,6,15,7,40104,1,1500000US150070401041,,,,44,0,7,7,0,64,19,14,0,18,444,0,0,26,320,0,201,382,1500000US150070401041,0,0,0,0,0,0,12
1500000US150070402052,14.0,1,1,1,0.439999997616,81.0,333,1,51.0965542712,57.1977957317,1,1500000US150070402052,Block Group 2; Census Tract 402.05; Kauai County; Hawaii,1309,112,176,37,17,0,7,837.0,0,26,39,0,54,0,0,0,0,41,17,255,14,31,0,38,74,19,,0,0,56,0,9,29,15,7,40205,2,1500000US150070402052,,,,51,0,43,24,51,12,23,43,12,0,727,0,0,256,149,41,136,76,1500000US150070402052,0,0,0,0,0,0,0
1500000US150070406031,11.0,1,1,1,0.920000016689,66.0,222,1,58.80612688,35.7418454114,9,1500000US150070406031,Block Group 1; Census Tract 406.03; Kauai County; Hawaii,560,275,520,83,21,0,17,385.0,0,3,26,0,4,0,0,0,0,63,56,156,22,0,28,0,0,3,,0,4,5,0,10,49,15,7,40603,1,1500000US150070406031,,,,0,16,21,12,40,7,16,35,9,27,367,2,2,63,3,9,114,132,1500000US150070406031,0,0,0,0,0,0,9
1500000US150090317005,13.0,1,1,1,0.889999985695,71.0,218,1,41.6823586947,13.3632259884,2,1500000US150090317005,Block Group 5; Census Tract 317; Maui County; Hawaii,480,96,122,47,80,0,0,269.0,0,0,0,0,77,0,0,0,0,63,0,99,0,44,4,2,0,111,,0,0,62,42,0,0,15,9,31700,5,1500000US150090317005,,,,0,0,2,87,0,0,0,1,0,37,124,0,0,43,72,0,241,371,1500000US150090317005,0,0,0,0,0,0,0
