GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28002_013E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,GEO_ID_2,P5_002N,P5_003N,P5_004N,P5_005N,P5_008N,P5_009N,P5_010N
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1462,82,294,87,17,5,9,813,0,42,40,0,160,0,0,53,0,79,49,330,211,140,38,15,210,3,,37,39,76,46,15,24,15,001,020100,1,1500000US150010201001,1500000US150010201002,0,0,0,0,0,0,0
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,1236,4,260,51,65,88,43,832,0,0,60,0,97,0,0,24,0,171,186,245,94,141,207,62,16,24,,5,47,0,0,9,17,15,001,020400,3,1500000US150010204003,1500000US150010204003,0,0,0,0,0,0,51
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1234,188,258,114,17,22,26,,23,8,0,0,102,0,0,57,0,17,97,285,315,20,0,257,101,0,,0,91,0,0,0,26,15,001,020500,1,1500000US150010205001,1500000US150010205001,0,0,0,0,0,0,53
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1193,26,206,210,26,28,22,709,109,0,56,0,72,0,0,48,0,28,109,283,270,88,0,74,0,0,,0,60,25,104,0,0,15,001,020500,2,1500000US150010205002,1500000US150010205002,0,0,0,0,0,0,6
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1830,106,219,31,50,0,21,,13,24,25,0,30,0,0,17,0,30,21,204,504,175,275,0,43,0,,148,36,29,4,0,0,15,001,020500,3,1500000US150010205003,1500000US150010205003,0,0,0,0,559,0,22
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1295,48,151,128,134,121,68,880,0,0,0,0,67,0,0,0,0,190,172,294,16,183,21,40,32,175,,4,22,43,27,25,98,15,001,020500,4,1500000US150010205004,1500000US150010205004,4,0,0,0,0,0,0
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,868,114,257,50,56,69,0,658,0,0,45,0,87,0,0,18,0,177,95,189,30,151,19,27,28,0,,0,0,30,0,78,0,15,001,020600,1,1500000US150010206001,1500000US150010206001,0,0,0,0,0,0,3
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,984,73,24,43,34,0,0,707,10,10,8,0,73,0,0,23,4,43,67,193,48,32,5,16,41,1,,18,33,48,16,11,7,15,001,020600,2,1500000US150010206002,1500000US150010206002,0,0,0,0,0,0,0
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1955,83,158,13,37,20,15,1117,7,27,41,0,43,0,0,8,6,44,38,391,145,105,118,44,202,111,,105,69,68,45,31,20,15,001,020600,3,1500000US150010206003,1500000US150010206003,0,0,0,0,0,0,0
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,2995,67,177,129,59,12,4,1704,8,86,133,0,104,0,11,34,8,19,69,681,146,119,157,206,443,157,,57,87,111,55,8,58,15,001,020600,4,1500000US150010206004,1500000US150010206004,0,0,0,0,0,0,19
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2613,195,121,142,127,104,62,1944,0,59,25,0,157,0,0,10,0,173,196,494,142,401,81,16,118,34,,177,48,104,26,73,37,15,001,020701,1,1500000US150010207011,1500000US150010207011,0,0,0,0,0,0,0
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1191,111,51,97,76,55,25,1154,16,0,22,0,0,0,0,35,0,50,39,338,245,130,24,84,33,31,,20,34,9,29,0,0,15,001,020701,2,1500000US150010207012,1500000US150010207013,0,0,0,0,0,0,13
1500000US150010207013,Block Group 3; Census Tract 207.01; Hawaii County; Hawaii,1442,240,32,163,55,0,5,1022,0,0,0,0,61,0,0,23,0,45,69,292,115,26,18,217,15,20,,25,45,30,42,0,55,15,001,020701,3,1500000US150010207013,1500000US150010207012,106,106,0,0,0,0,0
1500000US150010207021,Block Group 1; Census Tract 207.02; Hawaii County; Hawaii,1504,225,202,108,6,0,0,1393,43,0,0,0,37,0,0,0,0,18,89,425,49,8,17,72,194,191,,0,0,43,14,3,8,15,001,020702,1,1500000US150010207021,1500000US150010207022,0,0,0,0,0,0,9
1500000US150010207022,Block Group 2; Census Tract 207.02; Hawaii County; Hawaii,2042,259,320,30,72,0,0,1488,0,0,0,0,27,0,9,0,0,57,119,506,53,107,9,75,100,84,,43,162,89,37,9,62,15,001,020702,2,1500000US150010207022,1500000US150010207021,0,0,0,0,0,0,0
1500000US150010207023,Block Group 3; Census Tract 207.02; Hawaii County; Hawaii,1282,10,242,9,9,57,0,1080,0,0,0,0,53,0,0,10,62,17,58,336,40,7,0,15,45,9,,44,12,47,27,9,32,15,001,020702,3,1500000US150010207023,1500000US150010207023,0,0,0,0,0,0,14
1500000US150010208011,Block Group 1; Census Tract 208.01; Hawaii County; Hawaii,1541,65,153,63,0,29,0,,0,0,0,0,59,0,0,7,0,28,83,352,0,13,0,29,54,0,,23,11,43,18,17,50,15,001,020801,1,1500000US150010208011,1500000US150010208012,0,0,0,0,0,0,16
1500000US150010208012,Block Group 2; Census Tract 208.01; Hawaii County; Hawaii,2431,152,91,17,8,52,41,1834,29,1,62,0,30,0,0,0,1,137,105,591,95,14,0,35,27,20,,77,44,156,38,40,57,15,001,020801,2,1500000US150010208012,1500000US150010208011,0,0,0,0,0,0,0
1500000US150010208013,Block Group 3; Census Tract 208.01; Hawaii County; Hawaii,1302,39,183,0,13,0,0,643,0,0,0,0,0,0,0,24,0,17,28,243,14,281,9,22,43,0,,108,137,85,21,11,8,15,001,020801,3,1500000US150010208013,1500000US150010208013,0,0,0,0,0,0,0
1500000US150010208021,Block Group 1; Census Tract 208.02; Hawaii County; Hawaii,1371,78,69,98,146,82,18,1033,0,0,0,0,38,26,0,0,1,1,74,343,198,61,1,118,50,0,,2,53,0,24,4,17,15,001,020802,1,1500000US150010208021,1500000US150010208022,0,0,0,0,0,0,6
1500000US150010208022,Block Group 2; Census Tract 208.02; Hawaii County; Hawaii,454,25,48,101,0,0,16,306,0,0,0,0,31,0,0,0,0,16,19,114,1,0,0,0,0,0,,0,0,67,0,0,0,15,001,020802,2,1500000US150010208022,1500000US150010208025,70,0,0,70,0,0,0
1500000US150010208023,Block Group 3; Census Tract 208.02; Hawaii County; Hawaii,3074,41,273,233,133,75,0,1975,76,26,0,0,68,0,0,16,0,40,96,747,0,52,0,0,16,12,,46,104,143,89,18,91,15,001,020802,3,1500000US150010208023,1500000US150010208021,85,0,0,85,0,0,0
1500000US150010208024,Block Group 4; Census Tract 208.02; Hawaii County; Hawaii,839,83,58,148,0,0,148,662,0,0,17,0,47,0,0,23,0,35,32,225,54,17,0,89,0,0,,102,0,33,0,0,16,15,001,020802,4,1500000US150010208024,1500000US150010208023,0,0,0,0,0,0,1
1500000US150010208025,Block Group 5; Census Tract 208.02; Hawaii County; Hawaii,1272,13,136,17,86,0,0,,0,0,0,0,17,0,0,0,0,67,36,355,0,0,0,0,0,0,,48,41,16,0,0,32,15,001,020802,5,1500000US150010208025,1500000US150010208024,0,0,0,0,0,0,0
1500000US150010209001,Block Group 1; Census Tract 209; Hawaii County; Hawaii,913,85,62,25,21,0,9,679,0,18,0,0,28,0,0,0,0,23,10,246,45,11,0,10,14,0,,0,64,53,14,0,0,15,001,020900,1,1500000US150010209001,1500000US150010209003,0,0,0,0,0,0,0
1500000US150010209002,Block Group 2; Census Tract 209; Hawaii County; Hawaii,1464,77,181,0,9,15,0,,0,0,0,0,10,0,0,0,0,29,50,381,6,14,11,232,98,0,,20,31,106,0,40,28,15,001,020900,2,1500000US150010209002,1500000US150010209001,0,0,0,0,0,0,0
1500000US150010209003,Block Group 3; Census Tract 209; Hawaii County; Hawaii,1043,45,101,0,48,0,0,769,0,0,0,0,11,0,0,12,0,9,24,245,11,138,0,37,61,30,,0,38,0,44,16,12,15,001,020900,3,1500000US150010209003,1500000US150010209002,0,0,0,0,0,0,0
1500000US150010209004,Block Group 4; Census Tract 209; Hawaii County; Hawaii,692,79,37,0,0,0,9,473,0,0,0,0,10,0,0,9,0,19,38,202,0,0,0,0,9,0,,23,0,24,0,0,48,15,001,020900,4,1500000US150010209004,1500000US150010209004,0,0,0,0,0,0,0
1500000US150010209005,Block Group 5; Census Tract 209; Hawaii County; Hawaii,1168,31,119,9,9,19,0,872,16,9,11,0,17,0,0,0,0,17,8,296,140,188,0,42,38,0,,39,67,41,7,19,18,15,001,020900,5,1500000US150010209005,1500000US150010209005,0,0,0,0,0,0,0
1500000US150010210031,Block Group 1; Census Tract 210.03; Hawaii County; Hawaii,1327,143,52,27,0,0,0,1084,105,74,0,18,118,0,0,0,0,115,86,286,211,68,32,0,326,0,,0,0,59,28,18,42,15,001,021003,1,1500000US150010210031,1500000US150010210031,0,0,0,0,0,0,18
1500000US150010210032,Block Group 2; Census Tract 210.03; Hawaii County; Hawaii,1291,109,22,19,0,0,0,806,0,0,40,0,111,0,17,41,36,153,65,297,235,119,103,83,88,0,,35,83,114,23,6,21,15,001,021003,2,1500000US150010210032,1500000US150010210033,0,0,0,0,0,0,0
1500000US150010210033,Block Group 3; Census Tract 210.03; Hawaii County; Hawaii,2541,247,166,25,47,0,0,1841,0,0,62,5,167,0,16,0,16,119,59,675,356,373,82,120,234,22,,90,222,122,66,0,12,15,001,021003,3,1500000US150010210033,1500000US150010210032,0,0,0,0,0,0,0
1500000US150010210034,Block Group 4; Census Tract 210.03; Hawaii County; Hawaii,324,46,12,0,0,0,0,,0,0,0,0,0,0,0,0,0,5,16,113,10,175,107,16,0,0,,0,0,0,0,0,0,15,001,021003,4,1500000US150010210034,1500000US150010210034,0,0,0,0,0,0,0
1500000US150010210035,Block Group 5; Census Tract 210.03; Hawaii County; Hawaii,1526,314,29,0,0,0,0,1160,0,111,15,0,119,0,0,0,31,111,63,401,122,357,82,90,91,14,,99,40,24,20,19,62,15,001,021003,5,1500000US150010210035,1500000US150010210035,0,0,0,0,0,0,0
1500000US150010210111,Block Group 1; Census Tract 210.11; Hawaii County; Hawaii,2021,185,35,0,22,0,25,1074,56,34,115,0,64,0,0,25,63,85,104,390,210,177,80,448,0,135,,126,113,6,122,0,0,15,001,021011,1,1500000US150010210111,1500000US150010210111,0,0,0,0,0,0,0
1500000US150010210112,Block Group 2; Census Tract 210.11; Hawaii County; Hawaii,1617,130,69,0,20,9,0,1354,0,46,1,0,85,0,0,6,13,93,49,518,35,16,28,11,7,112,,146,0,0,9,29,22,15,001,021011,2,1500000US150010210112,1500000US150010210112,0,0,0,0,0,0,0
1500000US150010210113,Block Group 3; Census Tract 210.11; Hawaii County; Hawaii,902,217,100,0,0,0,0,,0,0,76,4,91,0,0,0,16,91,2,201,45,70,0,103,0,31,,0,0,0,0,33,4,15,001,021011,3,1500000US150010210113,1500000US150010210113,0,0,0,0,0,0,0
1500000US150010210131,Block Group 1; Census Tract 210.13; Hawaii County; Hawaii,1024,80,116,90,46,17,22,662,0,23,0,0,97,0,0,26,23,68,79,226,40,59,88,99,68,12,,42,13,26,67,14,18,15,001,021013,1,1500000US150010210131,1500000US150010210131,0,0,0,0,0,0,13
1500000US150010210132,Block Group 2; Census Tract 210.13; Hawaii County; Hawaii,1396,79,66,15,79,28,31,975,0,41,8,0,95,0,0,38,5,65,27,407,74,265,0,56,16,0,,9,74,14,0,36,48,15,001,021013,2,1500000US150010210132,1500000US150010210132,0,0,0,0,0,0,0
1500000US150010210133,Block Group 3; Census Tract 210.13; Hawaii County; Hawaii,2639,155,104,10,32,0,4,1790,0,95,51,0,67,0,13,49,0,42,67,700,136,352,16,91,438,31,,34,94,46,19,35,13,15,001,021013,3,1500000US150010210133,1500000US150010210133,11,0,0,11,0,0,0
1500000US150010210141,Block Group 1; Census Tract 210.14; Hawaii County; Hawaii,1167,36,95,0,0,0,0,1086,0,0,0,0,0,0,0,69,0,69,68,319,0,106,0,0,251,0,,43,79,31,0,0,22,15,001,021014,1,1500000US150010210141,1500000US150010210141,0,0,0,0,0,0,0
1500000US150010210142,Block Group 2; Census Tract 210.14; Hawaii County; Hawaii,3727,176,274,75,0,21,0,2452,0,124,92,0,83,0,0,0,0,0,95,757,68,60,20,805,140,0,,211,42,76,0,0,88,15,001,021014,2,1500000US150010210142,1500000US150010210142,0,0,0,0,0,0,0
1500000US150010210143,Block Group 3; Census Tract 210.14; Hawaii County; Hawaii,3241,225,133,0,0,0,0,2314,0,0,0,0,98,0,0,0,0,282,104,867,48,20,366,42,0,80,,0,58,205,36,0,229,15,001,021014,3,1500000US150010210143,1500000US150010210143,0,0,0,0,0,0,31
1500000US150010210151,Block Group 1; Census Tract 210.15; Hawaii County; Hawaii,1937,62,0,26,0,0,64,1665,0,124,34,0,0,0,0,0,0,222,30,505,149,154,0,81,132,0,,0,66,64,24,51,29,15,001,021015,1,1500000US150010210151,1500000US150010210151,0,0,0,0,0,0,0
1500000US150010210152,Block Group 2; Census Tract 210.15; Hawaii County; Hawaii,2661,302,364,173,0,0,61,2385,0,256,0,0,56,0,0,0,0,52,84,898,0,24,28,0,0,682,,0,164,206,0,71,0,15,001,021015,2,1500000US150010210152,1500000US150010210152,0,0,0,0,0,0,0
1500000US150010210161,Block Group 1; Census Tract 210.16; Hawaii County; Hawaii,2343,224,36,23,0,0,0,,0,21,30,0,189,0,0,0,0,180,115,524,113,143,46,113,72,21,,0,0,0,143,122,86,15,001,021016,1,1500000US150010210161,1500000US150010210162,0,0,0,0,0,0,0
1500000US150010210162,Block Group 2; Census Tract 210.16; Hawaii County; Hawaii,2138,170,62,0,83,24,0,1563,22,38,47,0,101,0,0,21,0,98,52,570,274,134,32,230,164,114,,37,0,50,18,9,84,15,001,021016,2,1500000US150010210162,1500000US150010210161,0,0,0,0,0,0,0
1500000US150010210163,Block Group 3; Census Tract 210.16; Hawaii County; Hawaii,607,99,98,0,0,0,0,476,0,0,0,0,23,0,0,0,0,56,69,130,48,71,0,61,0,0,,0,70,0,0,0,37,15,001,021016,3,1500000US150010210163,1500000US150010210163,0,0,0,0,0,0,0
1500000US150010210171,Block Group 1; Census Tract 210.17; Hawaii County; Hawaii,920,36,13,0,0,0,10,628,5,36,28,13,80,0,0,0,13,97,5,221,120,112,127,14,221,0,,0,71,30,18,0,16,15,001,021017,1,1500000US150010210171,1500000US150010210171,0,0,0,0,0,0,0
1500000US150010210172,Block Group 2; Census Tract 210.17; Hawaii County; Hawaii,876,88,26,61,25,0,13,808,13,20,97,4,81,0,0,10,0,122,111,151,166,102,23,15,71,7,,33,18,6,13,14,13,15,001,021017,2,1500000US150010210172,1500000US150010210172,0,0,0,0,0,0,0
1500000US150010210173,Block Group 3; Census Tract 210.17; Hawaii County; Hawaii,1770,369,49,54,0,0,0,1257,0,0,51,11,77,0,0,0,0,162,326,385,102,80,57,53,308,15,,0,141,0,0,144,0,15,001,021017,3,1500000US150010210173,1500000US150010210173,0,0,0,0,0,0,0
1500000US150010211011,Block Group 1; Census Tract 211.01; Hawaii County; Hawaii,104,42,11,0,0,0,0,98,0,0,12,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,,0,0,0,0,0,0,15,001,021101,1,1500000US150010211011,1500000US150010211011,0,0,0,0,0,0,10
1500000US150010211012,Block Group 2; Census Tract 211.01; Hawaii County; Hawaii,2078,234,88,9,17,4,13,1511,0,0,25,16,149,0,9,0,0,191,74,446,307,387,218,61,133,10,,121,92,47,38,40,54,15,001,021101,2,1500000US150010211012,1500000US150010211012,0,0,0,0,0,0,0
1500000US150010211013,Block Group 3; Census Tract 211.01; Hawaii County; Hawaii,814,74,43,0,11,0,0,799,0,0,84,0,52,7,0,0,32,159,102,123,183,135,87,48,6,37,,0,0,6,0,8,0,15,001,021101,3,1500000US150010211013,1500000US150010211013,0,0,0,0,0,0,0
1500000US150010211071,Block Group 1; Census Tract 211.07; Hawaii County; Hawaii,1003,89,121,22,26,0,21,805,23,29,123,0,44,0,0,0,0,62,22,264,181,115,77,17,62,92,,23,11,21,14,79,27,15,001,021107,1,1500000US150010211071,1500000US150010211071,0,0,0,0,0,0,29
1500000US150010211081,Block Group 1; Census Tract 211.08; Hawaii County; Hawaii,1815,30,163,33,0,0,0,1308,0,191,36,0,34,14,0,15,0,90,82,513,39,494,19,32,163,51,,0,91,21,157,0,131,15,001,021108,1,1500000US150010211081,1500000US150010211083,0,0,0,0,0,0,0
1500000US150010211082,Block Group 2; Census Tract 211.08; Hawaii County; Hawaii,2306,150,471,32,87,0,0,1512,0,0,133,0,134,0,0,31,93,255,241,453,464,172,263,138,85,104,,150,98,238,68,0,96,15,001,021108,2,1500000US150010211082,1500000US150010211081,0,0,0,0,0,0,0
1500000US150010211083,Block Group 3; Census Tract 211.08; Hawaii County; Hawaii,2034,217,216,20,82,8,2,1375,43,46,29,23,130,0,3,21,11,179,59,459,263,410,242,2,82,60,,137,90,71,35,23,31,15,001,021108,3,1500000US150010211083,1500000US150010211082,0,0,0,0,0,0,22
1500000US150010212031,Block Group 1; Census Tract 212.03; Hawaii County; Hawaii,1958,40,186,48,88,82,32,1082,0,31,24,0,40,0,0,45,30,46,142,330,97,131,43,267,283,0,,76,85,47,54,38,31,15,001,021203,1,1500000US150010212031,1500000US150010212033,0,0,0,0,0,0,0
1500000US150010212032,Block Group 2; Census Tract 212.03; Hawaii County; Hawaii,1611,0,0,0,0,0,0,1562,0,0,26,0,91,0,0,0,0,223,250,337,350,229,59,0,0,92,,13,88,22,0,0,125,15,001,021203,2,1500000US150010212032,1500000US150010212031,11,0,0,11,0,0,23
1500000US150010212033,Block Group 3; Census Tract 212.03; Hawaii County; Hawaii,1790,0,0,0,0,0,0,1384,0,166,53,0,98,0,0,0,51,154,82,467,360,86,68,68,390,0,,65,30,30,42,0,119,15,001,021203,3,1500000US150010212033,1500000US150010212032,0,0,0,0,0,0,0
1500000US150010212034,Block Group 4; Census Tract 212.03; Hawaii County; Hawaii,232,40,10,8,10,0,8,258,5,7,19,0,32,4,0,0,0,4,30,68,5,0,6,14,17,0,,0,0,1,3,0,6,15,001,021203,4,1500000US150010212034,1500000US150010212034,0,0,0,0,0,0,0
1500000US150010212041,Block Group 1; Census Tract 212.04; Hawaii County; Hawaii,820,14,89,4,20,79,71,529,0,10,20,0,35,0,0,32,0,31,22,178,47,85,72,76,6,63,,68,23,26,51,6,9,15,001,021204,1,1500000US150010212041,1500000US150010212041,0,0,0,0,0,0,0
1500000US150010212042,Block Group 2; Census Tract 212.04; Hawaii County; Hawaii,186,30,73,23,0,0,0,184,0,0,31,0,42,0,0,0,0,96,0,48,31,0,0,0,0,0,,0,0,0,0,0,0,15,001,021204,2,1500000US150010212042,1500000US150010212042,0,0,0,0,0,0,0
1500000US150010212043,Block Group 3; Census Tract 212.04; Hawaii County; Hawaii,1633,186,53,14,4,3,20,1330,8,52,83,0,103,8,0,0,8,185,65,398,102,127,36,77,66,103,,43,15,29,38,60,105,15,001,021204,3,1500000US150010212043,1500000US150010212043,0,0,0,0,0,0,16
1500000US150010213001,Block Group 1; Census Tract 213; Hawaii County; Hawaii,2465,93,207,35,0,19,127,1814,26,59,88,0,100,0,0,0,0,71,17,444,180,71,0,120,82,6,,165,8,102,0,20,58,15,001,021300,1,1500000US150010213001,1500000US150010213001,0,0,0,0,0,0,0
1500000US150010213002,Block Group 2; Census Tract 213; Hawaii County; Hawaii,1625,283,107,107,0,0,0,1348,0,97,88,23,76,7,0,41,0,117,6,364,80,61,12,196,42,60,,34,19,37,15,7,76,15,001,021300,2,1500000US150010213002,1500000US150010213002,0,0,0,0,0,0,0
1500000US150010213003,Block Group 3; Census Tract 213; Hawaii County; Hawaii,2489,239,313,139,64,0,9,2156,0,4,68,44,35,0,0,23,0,107,189,621,573,71,75,43,0,100,,0,0,7,9,31,56,15,001,021300,3,1500000US150010213003,1500000US150010213003,0,0,0,0,0,0,29
1500000US150010213004,Block Group 4; Census Tract 213; Hawaii County; Hawaii,805,204,0,0,50,0,0,,59,60,47,0,67,0,0,0,0,0,93,243,0,0,42,0,0,93,,0,0,45,35,64,0,15,001,021300,4,1500000US150010213004,1500000US150010213004,0,0,0,0,0,0,0
1500000US150010214021,Block Group 1; Census Tract 214.02; Hawaii County; Hawaii,1315,117,101,20,10,0,27,835,0,14,23,0,68,0,0,4,5,71,22,273,0,21,34,6,70,0,,12,104,31,16,25,18,15,001,021402,1,1500000US150010214021,1500000US150010214021,0,0,0,0,0,0,19
1500000US150010214022,Block Group 2; Census Tract 214.02; Hawaii County; Hawaii,2543,137,302,87,116,28,98,1679,0,82,36,0,180,55,0,0,0,102,211,520,154,155,40,4,187,83,,109,96,118,82,42,0,15,001,021402,2,1500000US150010214022,1500000US150010214022,0,0,0,0,12,0,0
1500000US150010215021,Block Group 1; Census Tract 215.02; Hawaii County; Hawaii,1714,172,186,109,20,37,92,1162,12,39,32,35,72,17,0,0,9,81,151,386,90,138,61,15,144,57,,30,32,72,59,56,124,15,001,021502,1,1500000US150010215021,1500000US150010215021,10,0,0,10,0,0,6
1500000US150010215022,Block Group 2; Census Tract 215.02; Hawaii County; Hawaii,2261,171,60,19,45,0,0,1701,0,0,97,0,51,0,0,0,0,51,78,404,90,115,45,129,235,4,,64,75,84,4,50,32,15,001,021502,2,1500000US150010215022,1500000US150010215022,0,0,0,0,0,0,0
1500000US150010215023,Block Group 3; Census Tract 215.02; Hawaii County; Hawaii,1128,142,22,0,8,0,15,853,0,35,101,0,0,0,11,42,0,71,44,293,54,7,0,0,144,9,,0,37,37,7,19,20,15,001,021502,3,1500000US150010215023,1500000US150010215023,0,0,0,0,0,0,3
1500000US150010215041,Block Group 1; Census Tract 215.04; Hawaii County; Hawaii,3490,345,275,28,0,0,12,1649,66,118,229,0,101,21,0,27,0,52,43,677,225,521,19,372,31,49,,182,88,109,96,63,136,15,001,021504,1,1500000US150010215041,1500000US150010215041,0,0,0,0,0,0,17
1500000US150010215042,Block Group 2; Census Tract 215.04; Hawaii County; Hawaii,2926,50,84,62,10,0,0,1781,13,72,68,0,195,0,0,17,3,42,72,721,82,368,284,136,308,191,,168,106,114,22,10,26,15,001,021504,2,1500000US150010215042,1500000US150010215042,0,0,0,0,0,0,72
1500000US150010215101,Block Group 1; Census Tract 215.10; Hawaii County; Hawaii,2590,113,199,33,0,0,0,1557,0,0,17,0,0,0,0,0,0,29,63,552,147,219,0,104,82,0,,142,68,137,31,16,79,15,001,021510,1,1500000US150010215101,1500000US150010215103,0,0,0,0,0,0,0
1500000US150010215102,Block Group 2; Census Tract 215.10; Hawaii County; Hawaii,890,0,129,121,14,14,9,600,73,44,49,0,54,27,0,16,0,8,38,230,60,53,61,25,88,0,,31,26,55,22,7,54,15,001,021510,2,1500000US150010215102,1500000US150010215101,0,0,0,0,0,0,3
1500000US150010215103,Block Group 3; Census Tract 215.10; Hawaii County; Hawaii,1121,233,324,0,0,0,0,855,0,0,0,0,3,0,0,0,0,15,61,402,116,0,19,30,19,0,,0,0,10,12,48,43,15,001,021510,3,1500000US150010215103,1500000US150010215102,0,0,0,0,0,0,20
1500000US150010215104,Block Group 4; Census Tract 215.10; Hawaii County; Hawaii,419,195,329,38,0,40,4,273,0,0,4,0,0,0,0,0,0,36,29,88,24,68,7,21,0,4,,21,14,0,0,0,16,15,001,021510,4,1500000US150010215104,1500000US150010215104,0,0,0,0,0,0,6
