GEO_ID,NAME,B01001_001E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,B25046_001E,B27010_017E,B27010_033E,B27010_050E,B27010_066E,B28009E_006E,B28002_013E,B16002_004E,B16002_007E,B16002_010E,B16002_013E,B16002_016E,B16002_019E,B16002_022E,B16002_025E,B16002_028E,B16002_031E,B16002_034E,B16002_037E,C16002_004E,C16002_007E,C16002_010E,C16002_013E,B09019_005E,B09019_008E,B19101A_001E,C17002_002E,C17002_003E,C17002_004E,C17002_005E,C17002_006E,C17002_007E,B20005_002E,B01001G_003E,B01001G_004E,B01001G_005E,B01001G_006E,B01001_020E,B01001_021E,state,county,tract,block group,GEO_ID_2,B05013_017E,B05013_018E,B05013_019E,B01001B_016E,B01001B_017E,B01001B_018E,B01001B_019E,B01001_044E,B01001_045E,B05013_036E,B05013_037E,B05013_038E,B01001B_031E,B26203_003E,B26203_004E,B26203_005E,B26203_006E,B26203_007E,B26203_008E,B26203_009E,B26203_010E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B25008D_003E,B16001_005E,B16001_008E,B16001_011E,B16001_014E,B16001_017E,B16001_020E,B16001_023E,B16001_026E,B16001_029E,B16001_032E,B16001_035E,B16001_038E
1500000US150010201001,Block Group 1; Census Tract 201; Hawaii County; Hawaii,1462,82,294,87,17,5,9,813,0,42,40,0,97,160,,,,,,,,,,,,,0,0,53,0,79,49,,211,140,38,15,210,3,,,,,,15,24,15,001,020100,1,1500000US150010201001,,,,,,,,3,0,,,,,,,,,,,,,178,0,14,450,418,21,381,49,,,,,,,,,,,,
1500000US150010204003,Block Group 3; Census Tract 204; Hawaii County; Hawaii,1236,4,260,51,65,88,43,832,0,0,60,0,0,97,,,,,,,,,,,,,0,0,24,0,171,186,,94,141,207,62,16,24,,,,,,9,17,15,001,020400,3,1500000US150010204003,,,,,,,,30,22,,,,,,,,,,,,,433,14,0,330,27,71,361,86,,,,,,,,,,,,
1500000US150010205001,Block Group 1; Census Tract 205; Hawaii County; Hawaii,1234,188,258,114,17,22,26,,23,8,0,0,0,102,,,,,,,,,,,,,0,0,57,0,17,97,,315,20,0,257,101,0,,,,,,0,26,15,001,020500,1,1500000US150010205001,,,,,,,,25,57,,,,,,,,,,,,,42,180,8,671,0,20,313,321,,,,,,,,,,,,
1500000US150010205002,Block Group 2; Census Tract 205; Hawaii County; Hawaii,1193,26,206,210,26,28,22,709,109,0,56,0,42,72,,,,,,,,,,,,,0,0,48,0,28,109,,270,88,0,74,0,0,,,,,,0,0,15,001,020500,2,1500000US150010205002,,,,,,,,0,0,,,,,,,,,,,,,303,0,0,45,103,0,742,0,,,,,,,,,,,,
1500000US150010205003,Block Group 3; Census Tract 205; Hawaii County; Hawaii,1830,106,219,31,50,0,21,,13,24,25,0,0,30,,,,,,,,,,,,,0,0,17,0,30,21,,504,175,275,0,43,0,,,,,,0,0,15,001,020500,3,1500000US150010205003,,,,,,,,0,0,,,,,,,,,,,,,310,5,0,240,410,21,844,94,,,,,,,,,,,,
1500000US150010205004,Block Group 4; Census Tract 205; Hawaii County; Hawaii,1295,48,151,128,134,121,68,880,0,0,0,0,0,67,,,,,,,,,,,,,0,0,0,0,190,172,,16,183,21,40,32,175,,,,,,25,98,15,001,020500,4,1500000US150010205004,,,,,,,,2,135,,,,,,,,,,,,,251,0,8,427,230,0,379,136,,,,,,,,,,,,
1500000US150010206001,Block Group 1; Census Tract 206; Hawaii County; Hawaii,868,114,257,50,56,69,0,658,0,0,45,0,0,87,,,,,,,,,,,,,0,0,18,0,177,95,,30,151,19,27,28,0,,,,,,78,0,15,001,020600,1,1500000US150010206001,,,,,,,,9,19,,,,,,,,,,,,,417,0,0,132,105,0,214,17,,,,,,,,,,,,
1500000US150010206002,Block Group 2; Census Tract 206; Hawaii County; Hawaii,984,73,24,43,34,0,0,707,10,10,8,0,12,73,,,,,,,,,,,,,0,0,23,4,43,67,,48,32,5,16,41,1,,,,,,11,7,15,001,020600,2,1500000US150010206002,,,,,,,,7,17,,,,,,,,,,,,,33,9,4,240,291,9,398,30,,,,,,,,,,,,
1500000US150010206003,Block Group 3; Census Tract 206; Hawaii County; Hawaii,1955,83,158,13,37,20,15,1117,7,27,41,0,39,43,,,,,,,,,,,,,0,0,8,6,44,38,,145,105,118,44,202,111,,,,,,31,20,15,001,020600,3,1500000US150010206003,,,,,,,,58,69,,,,,,,,,,,,,68,6,0,43,825,6,1007,0,,,,,,,,,,,,
1500000US150010206004,Block Group 4; Census Tract 206; Hawaii County; Hawaii,2995,67,177,129,59,12,4,1704,8,86,133,0,44,104,,,,,,,,,,,,,0,11,34,8,19,69,,146,119,157,206,443,157,,,,,,8,58,15,001,020600,4,1500000US150010206004,,,,,,,,23,54,,,,,,,,,,,,,132,12,0,801,965,2,1083,46,,,,,,,,,,,,
1500000US150010207011,Block Group 1; Census Tract 207.01; Hawaii County; Hawaii,2613,195,121,142,127,104,62,1944,0,59,25,0,0,157,,,,,,,,,,,,,0,0,10,0,173,196,,142,401,81,16,118,34,,,,,,73,37,15,001,020701,1,1500000US150010207011,,,,,,,,20,69,,,,,,,,,,,,,307,6,3,1349,104,0,844,412,,,,,,,,,,,,
1500000US150010207012,Block Group 2; Census Tract 207.01; Hawaii County; Hawaii,1191,111,51,97,76,55,25,1154,16,0,22,0,0,0,,,,,,,,,,,,,0,0,35,0,50,39,,245,130,24,84,33,31,,,,,,0,0,15,001,020701,2,1500000US150010207012,,,,,,,,30,10,,,,,,,,,,,,,119,0,0,642,22,24,384,99,,,,,,,,,,,,
1500000US150010207013,Block Group 3; Census Tract 207.01; Hawaii County; Hawaii,1442,240,32,163,55,0,5,1022,0,0,0,0,0,61,,,,,,,,,,,,,0,0,23,0,45,69,,115,26,18,217,15,20,,,,,,0,55,15,001,020701,3,1500000US150010207013,,,,,,,,0,41,,,,,,,,,,,,,119,18,0,723,306,0,276,117,,,,,,,,,,,,
1500000US150010207021,Block Group 1; Census Tract 207.02; Hawaii County; Hawaii,1504,225,202,108,6,0,0,1393,43,0,0,0,0,37,,,,,,,,,,,,,0,0,0,0,18,89,,49,8,17,72,194,191,,,,,,3,8,15,001,020702,1,1500000US150010207021,,,,,,,,21,44,,,,,,,,,,,,,127,0,0,468,45,0,864,55,,,,,,,,,,,,
1500000US150010207022,Block Group 2; Census Tract 207.02; Hawaii County; Hawaii,2042,259,320,30,72,0,0,1488,0,0,0,0,0,27,,,,,,,,,,,,,0,9,0,0,57,119,,53,107,9,75,100,84,,,,,,9,62,15,001,020702,2,1500000US150010207022,,,,,,,,19,62,,,,,,,,,,,,,76,0,0,1197,142,0,627,268,,,,,,,,,,,,
1500000US150010207023,Block Group 3; Census Tract 207.02; Hawaii County; Hawaii,1282,10,242,9,9,57,0,1080,0,0,0,0,0,53,,,,,,,,,,,,,0,0,10,62,17,58,,40,7,0,15,45,9,,,,,,9,32,15,001,020702,3,1500000US150010207023,,,,,,,,24,0,,,,,,,,,,,,,144,18,0,606,69,26,419,53,,,,,,,,,,,,
1500000US150010208011,Block Group 1; Census Tract 208.01; Hawaii County; Hawaii,1541,65,153,63,0,29,0,,0,0,0,0,0,59,,,,,,,,,,,,,0,0,7,0,28,83,,0,13,0,29,54,0,,,,,,17,50,15,001,020801,1,1500000US150010208011,,,,,,,,31,30,,,,,,,,,,,,,302,0,0,953,31,16,239,7,,,,,,,,,,,,
1500000US150010208012,Block Group 2; Census Tract 208.01; Hawaii County; Hawaii,2431,152,91,17,8,52,41,1834,29,1,62,0,15,30,,,,,,,,,,,,,0,0,0,1,137,105,,95,14,0,35,27,20,,,,,,40,57,15,001,020801,2,1500000US150010208012,,,,,,,,21,26,,,,,,,,,,,,,456,0,0,626,217,0,1132,106,,,,,,,,,,,,
1500000US150010208013,Block Group 3; Census Tract 208.01; Hawaii County; Hawaii,1302,39,183,0,13,0,0,643,0,0,0,0,0,0,,,,,,,,,,,,,0,0,24,0,17,28,,14,281,9,22,43,0,,,,,,11,8,15,001,020801,3,1500000US150010208013,,,,,,,,32,12,,,,,,,,,,,,,139,0,0,523,118,0,522,371,,,,,,,,,,,,
1500000US150010208021,Block Group 1; Census Tract 208.02; Hawaii County; Hawaii,1371,78,69,98,146,82,18,1033,0,0,0,0,7,38,,,,,,,,,,,,,26,0,0,1,1,74,,198,61,1,118,50,0,,,,,,4,17,15,001,020802,1,1500000US150010208021,,,,,,,,58,92,,,,,,,,,,,,,450,0,0,372,103,14,432,0,,,,,,,,,,,,
1500000US150010208022,Block Group 2; Census Tract 208.02; Hawaii County; Hawaii,454,25,48,101,0,0,16,306,0,0,0,0,0,31,,,,,,,,,,,,,0,0,0,0,16,19,,1,0,0,0,0,0,,,,,,0,0,15,001,020802,2,1500000US150010208022,,,,,,,,0,22,,,,,,,,,,,,,159,0,0,93,23,0,179,16,,,,,,,,,,,,
1500000US150010208023,Block Group 3; Census Tract 208.02; Hawaii County; Hawaii,3074,41,273,233,133,75,0,1975,76,26,0,0,0,68,,,,,,,,,,,,,0,0,16,0,40,96,,0,52,0,0,16,12,,,,,,18,91,15,001,020802,3,1500000US150010208023,,,,,,,,19,88,,,,,,,,,,,,,945,0,0,568,343,0,1218,74,,,,,,,,,,,,
1500000US150010208024,Block Group 4; Census Tract 208.02; Hawaii County; Hawaii,839,83,58,148,0,0,148,662,0,0,17,0,0,47,,,,,,,,,,,,,0,0,23,0,35,32,,54,17,0,89,0,0,,,,,,0,16,15,001,020802,4,1500000US150010208024,,,,,,,,16,6,,,,,,,,,,,,,388,0,0,186,83,0,182,160,,,,,,,,,,,,
1500000US150010208025,Block Group 5; Census Tract 208.02; Hawaii County; Hawaii,1272,13,136,17,86,0,0,,0,0,0,0,0,17,,,,,,,,,,,,,0,0,0,0,67,36,,0,0,0,0,0,0,,,,,,0,32,15,001,020802,5,1500000US150010208025,,,,,,,,30,16,,,,,,,,,,,,,217,0,0,483,42,0,530,0,,,,,,,,,,,,
1500000US150010209001,Block Group 1; Census Tract 209; Hawaii County; Hawaii,913,85,62,25,21,0,9,679,0,18,0,0,0,28,,,,,,,,,,,,,0,0,0,0,23,10,,45,11,0,10,14,0,,,,,,0,0,15,001,020900,1,1500000US150010209001,,,,,,,,11,10,,,,,,,,,,,,,203,0,0,187,125,0,398,0,,,,,,,,,,,,
1500000US150010209002,Block Group 2; Census Tract 209; Hawaii County; Hawaii,1464,77,181,0,9,15,0,,0,0,0,0,0,10,,,,,,,,,,,,,0,0,0,0,29,50,,6,14,11,232,98,0,,,,,,40,28,15,001,020900,2,1500000US150010209002,,,,,,,,0,43,,,,,,,,,,,,,105,0,0,604,87,54,614,0,,,,,,,,,,,,
1500000US150010209003,Block Group 3; Census Tract 209; Hawaii County; Hawaii,1043,45,101,0,48,0,0,769,0,0,0,0,0,11,,,,,,,,,,,,,0,0,12,0,9,24,,11,138,0,37,61,30,,,,,,16,12,15,001,020900,3,1500000US150010209003,,,,,,,,0,13,,,,,,,,,,,,,79,13,0,322,0,0,629,50,,,,,,,,,,,,
1500000US150010209004,Block Group 4; Census Tract 209; Hawaii County; Hawaii,692,79,37,0,0,0,9,473,0,0,0,0,0,10,,,,,,,,,,,,,0,0,9,0,19,38,,0,0,0,0,9,0,,,,,,0,48,15,001,020900,4,1500000US150010209004,,,,,,,,9,18,,,,,,,,,,,,,82,0,0,555,0,0,55,0,,,,,,,,,,,,
1500000US150010209005,Block Group 5; Census Tract 209; Hawaii County; Hawaii,1168,31,119,9,9,19,0,872,16,9,11,0,0,17,,,,,,,,,,,,,0,0,0,0,17,8,,140,188,0,42,38,0,,,,,,19,18,15,001,020900,5,1500000US150010209005,,,,,,,,11,6,,,,,,,,,,,,,352,0,0,422,28,0,366,0,,,,,,,,,,,,
1500000US150010210031,Block Group 1; Census Tract 210.03; Hawaii County; Hawaii,1327,143,52,27,0,0,0,1084,105,74,0,18,0,118,,,,,,,,,,,,,0,0,0,0,115,86,,211,68,32,0,326,0,,,,,,18,42,15,001,021003,1,1500000US150010210031,,,,,,,,16,53,,,,,,,,,,,,,278,54,132,317,192,0,354,0,,,,,,,,,,,,
1500000US150010210032,Block Group 2; Census Tract 210.03; Hawaii County; Hawaii,1291,109,22,19,0,0,0,806,0,0,40,0,0,111,,,,,,,,,,,,,0,17,41,36,153,65,,235,119,103,83,88,0,,,,,,6,21,15,001,021003,2,1500000US150010210032,,,,,,,,6,14,,,,,,,,,,,,,353,0,0,128,163,80,567,0,,,,,,,,,,,,
1500000US150010210033,Block Group 3; Census Tract 210.03; Hawaii County; Hawaii,2541,247,166,25,47,0,0,1841,0,0,62,5,36,167,,,,,,,,,,,,,0,16,0,16,119,59,,356,373,82,120,234,22,,,,,,0,12,15,001,021003,3,1500000US150010210033,,,,,,,,26,4,,,,,,,,,,,,,532,0,42,291,552,0,1124,0,,,,,,,,,,,,
1500000US150010210034,Block Group 4; Census Tract 210.03; Hawaii County; Hawaii,324,46,12,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,5,16,,10,175,107,16,0,0,,,,,,0,0,15,001,021003,4,1500000US150010210034,,,,,,,,6,0,,,,,,,,,,,,,16,0,0,0,196,0,112,0,,,,,,,,,,,,
1500000US150010210035,Block Group 5; Census Tract 210.03; Hawaii County; Hawaii,1526,314,29,0,0,0,0,1160,0,111,15,0,0,119,,,,,,,,,,,,,0,0,0,31,111,63,,122,357,82,90,91,14,,,,,,19,62,15,001,021003,5,1500000US150010210035,,,,,,,,27,17,,,,,,,,,,,,,703,0,61,157,261,0,344,50,,,,,,,,,,,,
1500000US150010210111,Block Group 1; Census Tract 210.11; Hawaii County; Hawaii,2021,185,35,0,22,0,25,1074,56,34,115,0,41,64,,,,,,,,,,,,,0,0,25,63,85,104,,210,177,80,448,0,135,,,,,,0,0,15,001,021011,1,1500000US150010210111,,,,,,,,46,0,,,,,,,,,,,,,200,0,44,190,395,0,1192,0,,,,,,,,,,,,
1500000US150010210112,Block Group 2; Census Tract 210.11; Hawaii County; Hawaii,1617,130,69,0,20,9,0,1354,0,46,1,0,0,85,,,,,,,,,,,,,0,0,6,13,93,49,,35,16,28,11,7,112,,,,,,29,22,15,001,021011,2,1500000US150010210112,,,,,,,,7,42,,,,,,,,,,,,,1012,0,0,74,56,0,475,0,,,,,,,,,,,,
1500000US150010210113,Block Group 3; Census Tract 210.11; Hawaii County; Hawaii,902,217,100,0,0,0,0,,0,0,76,4,0,91,,,,,,,,,,,,,0,0,0,16,91,2,,45,70,0,103,0,31,,,,,,33,4,15,001,021011,3,1500000US150010210113,,,,,,,,36,17,,,,,,,,,,,,,269,0,0,98,138,0,397,0,,,,,,,,,,,,
1500000US150010210131,Block Group 1; Census Tract 210.13; Hawaii County; Hawaii,1024,80,116,90,46,17,22,662,0,23,0,0,0,97,,,,,,,,,,,,,0,0,26,23,68,79,,40,59,88,99,68,12,,,,,,14,18,15,001,021013,1,1500000US150010210131,,,,,,,,5,28,,,,,,,,,,,,,129,0,0,386,64,29,416,102,,,,,,,,,,,,
1500000US150010210132,Block Group 2; Census Tract 210.13; Hawaii County; Hawaii,1396,79,66,15,79,28,31,975,0,41,8,0,0,95,,,,,,,,,,,,,0,0,38,5,65,27,,74,265,0,56,16,0,,,,,,36,48,15,001,021013,2,1500000US150010210132,,,,,,,,11,53,,,,,,,,,,,,,234,0,0,541,185,29,407,362,,,,,,,,,,,,
1500000US150010210133,Block Group 3; Census Tract 210.13; Hawaii County; Hawaii,2639,155,104,10,32,0,4,1790,0,95,51,0,0,67,,,,,,,,,,,,,0,13,49,0,42,67,,136,352,16,91,438,31,,,,,,35,13,15,001,021013,3,1500000US150010210133,,,,,,,,47,203,,,,,,,,,,,,,349,0,0,975,579,1,735,0,,,,,,,,,,,,
1500000US150010210141,Block Group 1; Census Tract 210.14; Hawaii County; Hawaii,1167,36,95,0,0,0,0,1086,0,0,0,0,0,0,,,,,,,,,,,,,0,0,69,0,69,68,,0,106,0,0,251,0,,,,,,0,22,15,001,021014,1,1500000US150010210141,,,,,,,,48,0,,,,,,,,,,,,,439,0,66,340,120,0,202,228,,,,,,,,,,,,
1500000US150010210142,Block Group 2; Census Tract 210.14; Hawaii County; Hawaii,3727,176,274,75,0,21,0,2452,0,124,92,0,200,83,,,,,,,,,,,,,0,0,0,0,0,95,,68,60,20,805,140,0,,,,,,0,88,15,001,021014,2,1500000US150010210142,,,,,,,,0,78,,,,,,,,,,,,,129,0,26,1657,746,255,914,302,,,,,,,,,,,,
1500000US150010210143,Block Group 3; Census Tract 210.14; Hawaii County; Hawaii,3241,225,133,0,0,0,0,2314,0,0,0,0,0,98,,,,,,,,,,,,,0,0,0,0,282,104,,48,20,366,42,0,80,,,,,,0,229,15,001,021014,3,1500000US150010210143,,,,,,,,85,58,,,,,,,,,,,,,1354,47,0,534,0,0,1306,0,,,,,,,,,,,,
1500000US150010210151,Block Group 1; Census Tract 210.15; Hawaii County; Hawaii,1937,62,0,26,0,0,64,1665,0,124,34,0,0,0,,,,,,,,,,,,,0,0,0,0,222,30,,149,154,0,81,132,0,,,,,,51,29,15,001,021015,1,1500000US150010210151,,,,,,,,35,30,,,,,,,,,,,,,1371,0,0,105,81,0,380,0,,,,,,,,,,,,
1500000US150010210152,Block Group 2; Census Tract 210.15; Hawaii County; Hawaii,2661,302,364,173,0,0,61,2385,0,256,0,0,0,56,,,,,,,,,,,,,0,0,0,0,52,84,,0,24,28,0,0,682,,,,,,71,0,15,001,021015,2,1500000US150010210152,,,,,,,,0,62,,,,,,,,,,,,,200,126,0,405,635,95,1200,156,,,,,,,,,,,,
1500000US150010210161,Block Group 1; Census Tract 210.16; Hawaii County; Hawaii,2343,224,36,23,0,0,0,,0,21,30,0,28,189,,,,,,,,,,,,,0,0,0,0,180,115,,113,143,46,113,72,21,,,,,,122,86,15,001,021016,1,1500000US150010210161,,,,,,,,106,34,,,,,,,,,,,,,1144,0,31,260,410,0,498,0,,,,,,,,,,,,
1500000US150010210162,Block Group 2; Census Tract 210.16; Hawaii County; Hawaii,2138,170,62,0,83,24,0,1563,22,38,47,0,69,101,,,,,,,,,,,,,0,0,21,0,98,52,,274,134,32,230,164,114,,,,,,9,84,15,001,021016,2,1500000US150010210162,,,,,,,,108,48,,,,,,,,,,,,,862,36,0,93,201,13,933,24,,,,,,,,,,,,
1500000US150010210163,Block Group 3; Census Tract 210.16; Hawaii County; Hawaii,607,99,98,0,0,0,0,476,0,0,0,0,0,23,,,,,,,,,,,,,0,0,0,0,56,69,,48,71,0,61,0,0,,,,,,0,37,15,001,021016,3,1500000US150010210163,,,,,,,,22,0,,,,,,,,,,,,,455,0,0,53,25,23,51,53,,,,,,,,,,,,
1500000US150010210171,Block Group 1; Census Tract 210.17; Hawaii County; Hawaii,920,36,13,0,0,0,10,628,5,36,28,13,0,80,,,,,,,,,,,,,0,0,0,13,97,5,,120,112,127,14,221,0,,,,,,0,16,15,001,021017,1,1500000US150010210171,,,,,,,,4,0,,,,,,,,,,,,,331,38,13,15,276,12,235,0,,,,,,,,,,,,
1500000US150010210172,Block Group 2; Census Tract 210.17; Hawaii County; Hawaii,876,88,26,61,25,0,13,808,13,20,97,4,0,81,,,,,,,,,,,,,0,0,10,0,122,111,,166,102,23,15,71,7,,,,,,14,13,15,001,021017,2,1500000US150010210172,,,,,,,,33,12,,,,,,,,,,,,,385,10,0,123,38,5,315,0,,,,,,,,,,,,
1500000US150010210173,Block Group 3; Census Tract 210.17; Hawaii County; Hawaii,1770,369,49,54,0,0,0,1257,0,0,51,11,0,77,,,,,,,,,,,,,0,0,0,0,162,326,,102,80,57,53,308,15,,,,,,144,0,15,001,021017,3,1500000US150010210173,,,,,,,,0,110,,,,,,,,,,,,,675,0,73,148,51,94,729,0,,,,,,,,,,,,
1500000US150010211011,Block Group 1; Census Tract 211.01; Hawaii County; Hawaii,104,42,11,0,0,0,0,98,0,0,12,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,15,001,021101,1,1500000US150010211011,,,,,,,,0,0,,,,,,,,,,,,,104,0,0,0,0,0,0,0,,,,,,,,,,,,
1500000US150010211012,Block Group 2; Census Tract 211.01; Hawaii County; Hawaii,2078,234,88,9,17,4,13,1511,0,0,25,16,13,149,,,,,,,,,,,,,0,9,0,0,191,74,,307,387,218,61,133,10,,,,,,40,54,15,001,021101,2,1500000US150010211012,,,,,,,,33,64,,,,,,,,,,,,,976,15,20,225,253,30,559,0,,,,,,,,,,,,
1500000US150010211013,Block Group 3; Census Tract 211.01; Hawaii County; Hawaii,814,74,43,0,11,0,0,799,0,0,84,0,0,52,,,,,,,,,,,,,7,0,0,32,159,102,,183,135,87,48,6,37,,,,,,8,0,15,001,021101,3,1500000US150010211013,,,,,,,,11,86,,,,,,,,,,,,,536,0,24,30,37,0,187,16,,,,,,,,,,,,
1500000US150010211071,Block Group 1; Census Tract 211.07; Hawaii County; Hawaii,1003,89,121,22,26,0,21,805,23,29,123,0,0,44,,,,,,,,,,,,,0,0,0,0,62,22,,181,115,77,17,62,92,,,,,,79,27,15,001,021107,1,1500000US150010211071,,,,,,,,93,2,,,,,,,,,,,,,282,1,0,403,135,0,182,81,,,,,,,,,,,,
1500000US150010211081,Block Group 1; Census Tract 211.08; Hawaii County; Hawaii,1815,30,163,33,0,0,0,1308,0,191,36,0,0,34,,,,,,,,,,,,,14,0,15,0,90,82,,39,494,19,32,163,51,,,,,,0,131,15,001,021108,1,1500000US150010211081,,,,,,,,17,123,,,,,,,,,,,,,1233,0,0,64,17,86,415,0,,,,,,,,,,,,
1500000US150010211082,Block Group 2; Census Tract 211.08; Hawaii County; Hawaii,2306,150,471,32,87,0,0,1512,0,0,133,0,41,134,,,,,,,,,,,,,0,0,31,93,255,241,,464,172,263,138,85,104,,,,,,0,96,15,001,021108,2,1500000US150010211082,,,,,,,,0,23,,,,,,,,,,,,,754,0,0,300,229,27,996,8,,,,,,,,,,,,
1500000US150010211083,Block Group 3; Census Tract 211.08; Hawaii County; Hawaii,2034,217,216,20,82,8,2,1375,43,46,29,23,133,130,,,,,,,,,,,,,0,3,21,11,179,59,,263,410,242,2,82,60,,,,,,23,31,15,001,021108,3,1500000US150010211083,,,,,,,,41,29,,,,,,,,,,,,,569,21,13,265,453,111,602,55,,,,,,,,,,,,
